x; y;Village;Endemicity
0;0;Kavilinguni;High
1,878953829;1,215259226;Kavilinguni;High
3,830171189;6,684018462;Kavilinguni;High
5,130986439;13,97566654;Kavilinguni;High
6,576334265;30,98957386;Kavilinguni;High
7,58807609;54,07987002;Kavilinguni;High
8,383019049;75,34720782;Kavilinguni;High
8,888888583;88,71526792;Kavilinguni;High
9,75609783;85,06944388;Kavilinguni;High
10,69557337;105,7291521;Kavilinguni;High
12,0686549;96,61456879;Kavilinguni;High
13,44173644;116,0590177;Kavilinguni;High
15,17615218;103,2986104;Kavilinguni;High
16,98283696;82,03124946;Kavilinguni;High
19,07859241;41,92709233;Kavilinguni;High
21,31888044;43,14235155;Kavilinguni;High
23,55916847;34,63539789;Kavilinguni;High
26,30533155;40,10415713;Kavilinguni;High
30,42457065;28,55900904;Kavilinguni;High
35,26648918;19,44442577;Kavilinguni;High
40,8310761;9,722212886;Kavilinguni;High
47,26287503;6,684018462;Kavilinguni;High
55,0677555;4,861083263;Kavilinguni;High
59,83740223;4,861083263;Kavilinguni;High
64,60705447;4,861083263;Kavilinguni;High
