x; y;Village;Endemicity
0;0;Matithini;High
1,951220117;1,215259226;Matithini;High
3,974706523;8,50695366;Matithini;High
6,142728263;31,59720347;Matithini;High
7,804877713;66,23262454;Matithini;High
8,527551626;92,96869839;Matithini;High
9,611562496;115,4513881;Matithini;High
10,55104079;120,9201242;Matithini;High
11,49051632;152,5173508;Matithini;High
14,01987502;145,2256796;Matithini;High
15,39295656;176,2152766;Matithini;High
16,91057067;165,8854109;Matithini;High
18,57272288;179,253471;Matithini;High
20,090337;150,0868092;Matithini;High
20,81301091;118,4895825;Matithini;High
21,60795111;89,93050396;Matithini;High
25,0767881;77,77772627;Matithini;High
28,18428262;57,11806445;Matithini;High
33,17073372;46,78817559;Matithini;High
37,28997283;38,28122193;Matithini;High
42,92683155;22,4826202;Matithini;High
47,84101637;24,30555539;Matithini;High
52,39385872;21,87499058;Matithini;High
56,29629895;20,05205539;Matithini;High
60,34327176;21,87499058;Matithini;High
73,78501096;29,77431463;Matithini;High
66,91960879;26,12844423;Matithini;High
