Age_lo,Age_hi,Both_sexes,Male,Female
0,1,0.033948981,0.037593043,0.030219332
2,4,0.003178486,0.003501451,0.002848969
5,9,0.001724022,0.001899436,0.001545483
10,14,0.001096654,0.001300349,0.000889876
15,19,0.001320953,0.001636682,0.001005127
20,24,0.001691242,0.002091416,0.001308484
25,29,0.002152484,0.002567247,0.001765814
30,34,0.002917815,0.003507936,0.002375293
35,39,0.00395217,0.00496476,0.003022688
40,44,0.005493704,0.007156111,0.003957874
45,49,0.007395649,0.009790906,0.005137645
50,54,0.010620445,0.014068968,0.007398767
55,59,0.014620338,0.019611979,0.010227253
60,64,0.021529595,0.028793852,0.015666993
65,69,0.031255456,0.041327788,0.023894386
70,74,0.048434557,0.061972468,0.039375043
75,79,0.073084973,0.090539115,0.062660539
80,84,0.111309885,0.133908741,0.099866586
85,150,0.183853541,0.215180548,0.170948297
