Age_lo,Age_hi,Both_sexes,Male,Female
0,1,0.033160935,0.036629142,0.029593329
2,4,0.012617692,0.013889087,0.011318487
5,9,0.008583115,0.009452294,0.007697676
10,14,0.005468278,0.006480677,0.004439502
15,19,0.006583023,0.008150062,0.005013036
20,24,0.008420605,0.010402687,0.006521086
25,29,0.010704817,0.012754376,0.008790264
30,34,0.014483426,0.017387196,0.011806354
35,39,0.019567513,0.024519465,0.015000087
40,44,0.027096371,0.035151681,0.019595477
45,49,0.036306961,0.047784888,0.025362465
50,54,0.05172877,0.067954707,0.036321989
55,59,0.070523977,0.093476733,0.049861401
60,64,0.102149861,0.134301609,0.075382427
65,69,0.144951006,0.187288401,0.112737449
70,74,0.216016168,0.26829507,0.179232043
75,79,0.308971863,0.369141267,0.270870471
80,84,0.435391093,0.50161659,0.399572961
85,150,1,1,1
